rb    omega	Omega	   i	    e	      a
441     340.7      79.2      22.1     0.499     0.712
442     350.1      78.1      35.1     0.170     0.961
443     213.4     243.3       1.9     0.407     0.830
444     349.1     101.9      10.5     0.266     0.902
445     353.0      37.1      18.9     0.531     0.635
446     112.1     214.7      11.1     0.223     0.980
447     278.6     115.7      14.5     0.489     0.697
448     139.7     191.2       4.2     0.391     0.827
449     210.3     195.5      33.4     0.349     0.913
450     142.1     183.4       3.5     0.492     0.878
451     196.4     169.9       6.8     0.250     0.886
452      34.2     293.3       0.0     0.289     0.818
453     343.4     357.4       7.9     0.171     0.900
454     337.6     356.1       7.6     0.270     0.814
455      50.0     336.6       5.1     0.329     0.884
456     216.1     157.3      23.0     0.400     0.944
457      45.8     300.9      17.7     0.385     0.961
458      28.2     299.0       3.6     0.222     0.884
459     127.9      86.5       2.7     0.355     0.969
460      87.2     264.4       4.3     0.014     0.989
461     134.6      99.0       6.5     0.313     0.931
462     223.1      89.7       5.8     0.267     0.880
463     138.1      86.4      29.2     0.450     0.898
464     165.6      89.8      19.5     0.199     0.931
465     149.0      55.5       0.4     0.178     0.894
466     140.7      57.6      28.6     0.545     0.909
467     287.3     212.8      16.8     0.149     0.980
468      59.3     188.8       3.8     0.337     0.781
469     200.7      22.9      15.7     0.583     0.703
470     321.9     220.1      12.1     0.382     0.777
471     355.2     200.7      25.5     0.316     0.908
472      47.8     176.5       3.7     0.304     0.884
473     316.5     178.4       4.7     0.183     0.889
474     210.5     215.7       0.6     0.211     0.857
475     238.3     247.3      10.8     0.150     0.961
476     154.6     250.0      23.9     0.330     0.949
477     204.0     215.5      23.5     0.511     0.727
478     352.2      38.8       4.9     0.262     0.815
479      19.2      30.5      26.3     0.270     0.813
480     306.7      70.4      18.1     0.381     0.850
481     168.7     199.6      17.0     0.182     0.873
482     181.9     196.3      12.0     0.218     0.893
483      29.6     359.3       6.6     0.582     0.730
484     339.3      21.6      13.0     0.394     0.858
485     196.5     177.6      23.4     0.486     0.707
486     167.9     178.0      13.2     0.250     0.935
487      23.9     346.0      15.3     0.052     0.958
488     173.0     139.9       7.5     0.120     0.920
489      44.0     286.8      23.2     0.426     0.875
490      23.7     301.7       7.4     0.384     0.876
491     178.6      81.7      34.1     0.242     0.810
492     119.2     159.5       2.1     0.217     0.911
493     317.6     265.9      21.5     0.359     0.955
494     351.2     245.9      25.5     0.237     0.906
495      78.4     216.6       2.3     0.201     0.984
496     355.5     231.6       9.0     0.410     0.724
497     348.8     222.3       9.7     0.437     0.837
498     358.6     209.3      30.7     0.487     0.799
499     223.1      13.0       8.5     0.121     0.930
500     169.4     350.9      20.8     0.600     0.905
501      71.7      92.0       1.3     0.287     0.825
502     156.1     349.9      13.5     0.310     0.967
503     318.4     174.3       6.9     0.243     0.936
504     162.7     259.5       6.2     0.314     0.845
505     282.1     166.7       0.8     0.496     0.720
506     134.1     248.1       2.9     0.379     0.955
507     253.9     202.9       3.7     0.298     0.924
508     175.2     218.5      11.8     0.266     0.899
509     338.1      68.6       4.3     0.305     0.770
510     206.3     189.5      10.7     0.378     0.767
511     226.7     188.6       9.5     0.463     0.988
512      31.5       8.0      28.1     0.300     0.967
513     223.1     164.1       6.6     0.342     0.823
514      58.9     346.0       1.6     0.363     0.921
515     218.0     137.6      12.6     0.403     0.820
516     210.4     137.6       3.1     0.225     0.866
517     147.2     115.8      27.7     0.546     0.875
518     101.9     106.4      10.7     0.013     0.993
519     306.0     295.1      13.1     0.162     0.917
520     149.5     103.1      13.3     0.388     0.841
521     323.9     287.9      29.9     0.438     0.779
522      25.3     294.7      33.0     0.542     0.880
523     318.7     305.6       4.8     0.540     0.677
524     219.7      93.0      31.0     0.387     0.872
525     358.4     239.7      18.2     0.373     0.751
526     133.3      25.5       7.7     0.287     0.884
527     241.3      13.2       9.0     0.166     0.954
528     262.4     327.3       4.0     0.492     0.948
529     214.0      11.3      17.6     0.393     0.907
530       4.5     154.0       7.5     0.342     0.914
531     330.3     170.8      13.9     0.241     0.959
532     142.9     295.9      12.1     0.323     0.934
533      28.2      32.6      23.7     0.499     0.875
534     200.8     189.2       7.3     0.159     0.889
535     233.6     183.1       5.2     0.028     0.983
536     306.6     357.8      11.6     0.057     0.989
537     342.6      31.9       1.3     0.176     0.940
538     353.5     331.0      10.6     0.407     0.715
539     234.1     109.5       8.1     0.382     0.725
540     195.6     122.6       2.0     0.172     0.854
541     242.8     115.6       5.8     0.138     0.941
542     189.4      97.4       3.5     0.225     0.857
543     222.1      55.8       7.7     0.289     0.854
544     230.0      50.8      17.4     0.263     0.879
545     228.8      33.9      11.7     0.439     0.904
546     293.7     237.2       0.8     0.249     0.883
547     275.2     192.1       0.1     0.067     0.977
548     131.4      14.8       0.9     0.168     0.930
549     211.8     312.8      16.1     0.318     0.951
550     354.4     177.9      19.6     0.551     0.826
551     166.2     304.6      10.0     0.221     0.985
552       8.2      72.5       2.8     0.111     0.917
553       6.2      30.1       6.2     0.535     0.741
554      17.9      55.2       2.7     0.430     0.816
555     313.1     358.5      41.1     0.450     0.937
556      23.9     345.4       3.9     0.470     0.816
557     310.1       3.9      13.8     0.567     0.835
558     139.6     162.9      11.6     0.496     0.896
559     109.1     214.2       3.3     0.423     0.863
560     187.9     101.7       4.7     0.286     0.853
561     151.7      55.3       1.7     0.140     0.900
562     354.7     232.4      10.8     0.112     0.929
563       9.8      80.8       2.0     0.665     0.674
564     223.6     240.0      11.9     0.333     0.907
565       7.7     313.3       2.6     0.111     0.912
566     226.5      85.9       7.2     0.210     0.982
567     152.9      74.5       7.0     0.367     0.741
568     320.9     236.3      23.7     0.444     0.851
569      47.6     166.8      23.4     0.504     0.903
570     322.4     197.6      21.1     0.530     0.819
571       6.4     166.9       2.9     0.505     0.702
572     359.5     177.3      53.3     0.642     0.817
573     359.8     176.2      30.3     0.699     0.731
574     260.8     183.9       7.8     0.313     0.963
575     309.4      53.5       3.4     0.440     0.878
576     180.4     151.1       2.0     0.416     0.692
577     180.9      42.4      25.5     0.475     0.830
578     141.6     117.0      31.7     0.368     0.913
579      56.0     251.5       5.5     0.492     0.976
580     150.6     139.8       3.9     0.282     0.897
581     322.4     342.8       4.0     0.869     0.907
582     356.5     252.7      28.2     0.526     0.671
583     205.9      62.8       6.8     0.397     0.757
584     179.4     196.9       3.7     0.504     0.683
585     353.9     329.1      12.4     0.093     0.936
586     332.3     343.6      16.2     0.212     0.982
587     211.4     247.1      10.1     0.174     0.981
588     156.6     272.7      24.9     0.340     0.753
589     202.4     161.1      28.6     0.505     0.880
590     253.7       2.7       2.1     0.551     0.876
591      65.2     119.1      15.9     0.657     0.904
592     212.4      30.3      25.4     0.778     0.797
593     224.3     350.6      10.4     0.467     0.811
594     130.8     122.7      23.8     0.797     0.640
595     207.5     235.2      14.7     0.562     0.953
596     208.8      27.4      31.3     0.526     0.911
597     310.6     142.2       7.2     0.248     0.986
598     212.5     232.7       9.5     0.263     0.985
599     159.3     203.0      29.0     0.599     0.789
600       8.0     277.4       8.6     0.360     0.747
601     160.0      99.9      27.6     0.333     0.983
602      77.7     155.4      19.4     0.210     0.895
603     136.0      57.8      15.2     0.546     0.875
604     108.7      48.1       9.5     0.365     0.893
605     355.3     164.3      12.8     0.699     0.817
606     311.6     124.7      18.2     0.492     0.793
607     340.0      22.1      20.7     0.604     0.944
608     125.5     178.2       5.4     0.321     0.937
609      30.6     297.8      17.5     0.369     0.823
610     211.1     205.2       5.2     0.412     0.914
611     346.9     109.1      36.3     0.274     0.914
612     226.3      40.8       2.6     0.121     0.989
613     300.4     327.2       6.5     0.236     0.934
614     205.2      99.5      17.2     0.374     0.856
615      56.3     193.4       3.4     0.563     0.637
616     297.6     288.1      21.6     0.152     0.959
617     306.9      69.4      40.9     0.391     0.819
618     347.0     329.8      30.0     0.135     0.960
619     205.5      23.5      34.8     0.283     0.981
620       5.1     211.5       2.9     0.455     0.618
621      55.8     343.3       4.7     0.279     0.989
622     326.3     274.1       8.5     0.210     0.828
623     252.9     103.9      25.6     0.322     0.741
624     222.2     259.6       5.4     0.434     0.876
625     148.3     203.6      20.3     0.602     0.762
626     208.5      69.7      27.2     0.546     0.797
627     187.4      29.8      32.2     0.422     0.870
628       7.6     124.4      51.2     0.374     0.873
629      46.2     331.2      22.3     0.124     0.947
630     247.5      70.5       6.9     0.359     0.741
631     200.1     110.8       2.7     0.411     0.878
